1,Allermöhe,Bergedorf,,,,
2,Alsterdorf,Hamburg-Nord,,,,
3,Altengamme,Bergedorf,,,,
4,Altenwerder,Harburg,,,,
5,Altona-Altstadt,Altona,,,,
6,Altona-Nord,Altona,,,,
7,Bahrenfeld,Altona,,,,
8,Barmbek-Nord,Hamburg-Nord,,,,
9,Barmbek-Süd,Hamburg-Nord,,,,
10,Bergedorf,Bergedorf,,,,
11,Bergstedt,Wandsbek,,,,
12,Billbrook,Hamburg-Mitte,,,,
13,Billstedt,Hamburg-Mitte,,,,
14,Billwerder,Bergedorf,,,,
15,Blankenese,Altona,,,,
16,Borgfelde,Hamburg-Mitte,,,,
17,Bramfeld,Wandsbek,,,,
18,Cranz,Harburg,,,,
19,Curslack,Bergedorf,,,,
20,Dulsberg,Hamburg-Nord,,,,
21,Duvenstedt,Wandsbek,,,,
22,Eidelstedt,Eimsbüttel,,,,
23,Eilbek,Wandsbek,,,,
25,Eimendorf,Harburg,,,,
24,Eimsbüttel,Eimsbüttel,,,,
26,Eppendorf,Hamburg-Nord,,,,
27,Farmsen-Berne,Wandsbek,,,,
28,Finkenwerder,Hamburg-Mitte,,,,
29,Francop,Harburg,,,,
30,Fuhlsbüttel,Hamburg-Nord,,,,
31,Groß-Borstel,Hamburg-Nord,,,,
32,Groß-Flottbek,Altona,,,,
33,Gut-Moor,Harburg,,,,
34,Hafencity,Hamburg-Mitte,,,,
35,Hamburg-Altstadt,Hamburg-Mitte,,,,
36,Hamm,Hamburg-Mitte,,,,
37,Hammerbrook,Hamburg-Mitte,,,,
38,Harburg,Harburg,,,,
39,Harvestehude,Eimsbüttel,,,,
40,Hausbruch,Harburg,,,,
41,Heimfeld,Harburg,,,,
42,Hoheluft-Ost,Hamburg-Nord,,,,
43,Hoheluft-West,Eimsbüttel,,,,
44,Hohenfelde,Hamburg-Nord,,,,
45,Horn,Hamburg-Mitte,,,,
46,Hummelsbüttel,Wandsbek,,,,
47,Iserbrook,Altona,,,,
48,Jenfeld,Wandsbek,,,,
49,Kirchwerder,Bergedorf,,,,
50,Kleiner Grasbrook,Hamburg-Mitte,,,,
51,Langenbek,Harburg,,,,
52,Langenhorn,Hamburg-Nord,,,,
53,Lemsahl-Mellingstedt,Wandsbek,,,,
54,Lohbrügge,Bergedorf,,,,
55,Lokstedt,Eimsbüttel,,,,
56,Lurup,Altona,,,,
57,Marienthal,Wandsbek,,,,
58,Marmstorf,Harburg,,,,
59,Moorburg,Harburg,,,,
60,Moorfleet,Bergedorf,,,,
61,Neuallerm,Bergedorf,,,,
62,Neuenfelde,Harburg,,,,
63,Neuengamme,Bergedorf,,,,
64,Neugraben-Fischbek,Harburg,,,,
65,Neuland,Harburg,,,,
66,Neustadt,Hamburg-Mitte,,,,
67,Neuwerk,Hamburg-Mitte,,,,
68,Niendorf,Eimsbüttel,,,,
69,Nienstedten,Altona,,,,
70,Ochsenwerder,Bergedorf,,,,
71,Ohlsdorf,Hamburg-Nord,,,,
72,Osdorf,Altona,,,,
73,Othmarschen,Altona,,,,
74,Ottensen,Altona,,,,
75,Poppenbüttel,Wandsbek,,,,
76,Rahlstedt,Wandsbek,,,,
77,Reitbrook,Bergedorf,,,,
78,Rissen,Altona,,,,
79,Rlnneburg,Harburg,,,,
80,Rothenburgsort,Hamburg-Mitte,,,,
81,Rotherbaum,Eimsbüttel,,,,
82,Sasel,Wandsbek,,,,
83,Schnelsen,Eimsblttel,,,,
84,Sinstorf,Harburg,,,,
92,Sllldorf,Altona,,,,
85,Spadenland,Bergedorf,,,,
86,St.Georg,Hamburg-Mitte,,,,
87,St.Pauli,Hamburg-Mitte,,,,
88,Steilshoop,Wandsbek,,,,
89,Steinwerder,Hamburg-Mitte,,,,
90,Stellingen,Eimsbüttel,,,,
91,Sternschanze,Altona,,,,
93,Tatenberg,Bergedorf,,,,
94,Tonndorf,Wandsbek,,,,
95,Uhlenhorst,Hamburg-Nord,,,,
96,Veddel,Hamburg-Mitte,,,,
97,Volksdorf,Wandsbek,,,,
98,Waltershof,Hamburg-Mitte,,,,
99,Wandsbek,Wandsbek,,,,
100,Wellingsbüttel,Wandsbek,,,,
101,Wilhelmsburg,Hamburg-Mitte,,,,
102,Wilstorf,Harburg,,,,
103,Winterhude,Hamburg-Nord,,,,
104,Wohldorf-Ohlstedt,Wandsbek,,,,
