20095,Hamburg-Altstadt,Hammerbrook,St.Georg,
20097,Hamm,Hammerbrook,St.Georg,
20099,Hamburg-Altstadt,St.Georg,,
20144,Eimsbüttel,Harvestehude,Hoheluft-Ost,Rotherbaum
20146,Harvestehude,Rotherbaum,,
20148,Harvestehude,Rotherbaum,,
20149,Harvestehude,Rotherbaum,,
20249,Eppendorf,Harvestehude,Hoheluft-Ost,
20251,Alsterdorf,Eppendorf,Hoheluft-Ost,
20253,Eimsbüttel,Harvestehude,Hoheluft-Ost,Hoheluft-West,Lokstedt,
20255,Eimsbüttel,Lokstedt,Stellingen,
20257,Altona-Nord,Eimsbüttel,,
20259,Eimsbüttel,,,
20354,Neustadt,Rotherbaum,St.Pauli,
20355,Neustadt,St.Pauli,,
20357,Altona-Nord,Eimsbüttel,Rotherbaum,St.Pauli,Sternschanze,
20359,Altona-Altstadt,Neustadt,St.Pauli,Sternschanze
20457,Hamburg-Altstadt,Hafencity,KleinerGrasbrook,Neustadt,Steinwerder,
20459,Neustadt,,,
20535,Borgfelde,Hamm,,
20537,Borgfelde,Hamm,Hammerbrook,
20359,Hafencity,KleinerGrasbrook,Rothenburgs-ort,Veddel,Wilhelmsburg,Wilhelmsburg,
20539,Hafencity,KleinerGrasbrook,Rothenburgsort,Sternschanze,Veddel,
21029,Altengamme,Bergedorf,Cuslack,
21031,Bergedorf,Lohbrügge,,
21033,Bergedorf,Billwerder,Lohbrügge,
21035,Allermöhe,Bergedorf,Billwerder,Neualler-möhe
21037,Allermöhe,Curslack,Kirchwerder,Neuen-gamme,Ochsenwerder,Reitbrook,Spadenland,Tatenberg
21039,Altengamme,Bergedorf,Curslack,Neuen-gamme
21073,Eißendorf,Harburg,Heimfeld,Wilstorf
21075,Eißendorf,Harburg,Hausbruch,Heimfeld
21077,Eißendorf,Langenbek,Marmstorf,Rönneburg,Sinstorf,Wilstorf,
21079,GutMoor,Harburg,Hausbruch,Heimfeld,Langenbek,Moorburg,Neuland,Rönneburg,Sinstorf,Wilstorf,
21107,Steinwerder,Wilhelmsburg,,
21109,Veddel,Wilhelmsburg,,
21129,Alstenwerder,Cranz,Finkenwerder,Francop,Moorburg,Neuland,Walstershof,
21147,Hausbruch,Neugraben-Fischbek,,
21149,Hausbruch,Neugraben-Fischbek,,
22041,Marienthal,Tonndorf,Wandsbek,
22043,Jenfeld,Marienthal,Tonndorf,
22045,Jenfeld,Tonndorf,,
22047,Bramfeld,Tonndorf,Wandsbek,
22049,Dulsberg,Wandsbek,,
22081,Barmbek-Süd,Uhlenhorst,,
22083,Barmbek-Süd,,,
22085,Barmbek-Süd,Uhlenhorst,,
22087,Hamm,Hohenfelde,Uhlenhorst,
22089,Eilbek,Hamm,Hohenfelde,Marienthal,Wandsbek,
22111,Billstedt,Hamm,Horn,
22113,Allermöhe,Billbroock,Billstedt,Billwerder,Horn,Lohbrügge,Moorfleet,
22115,Billstedt,Lohbrügge,,
22117,Billstedt,,,
22119,Billstedt,Horn,,
22143,Rahlstedt,,,
22145,Farmsen-Berne,Rahlstedt,,
22147,Rahlstedt,,,
22149,Rahlstedt,Tonndorf,,
22159,Bramfeld,Farmsen-Berne,Sasel,Tonndorf
22175,Bramfeld,,,
22177,Bramfeld,Steilshoop,,
22179,Bramfeld,,,
22297,Barmbek-Nord,GroßBorstel,Winterhude,
22299,Winterhude,,,
22301,Winterhude,,,
22303,Barmbek-Nord,,,
22305,Alsterdorf,Barmbek-Nord,Barmbek-Süd,Winterhude
22307,Barmbek-Nord,Winterhude,,
22309,Barmbek-Nord,Bramfeld,Ohlsdorf,Steilshoop
22335,Alsterdorf,Fuhlsbüttel,GroßBorstel,Ohlsdorf
22337,Alsterdorf,Ohlsdorf,,
22339,Fuhlsbüttel,Hummels-büttel,,
22359,Bergstedt,Rahlstedt,Volksdorf,
22391,Bramfeld,Hummels-büttel,Ohlsdorf,Poppenbüttel,Sasel,Wellingsbüttel,
22393,Bramfeld,Poppenbüttel,Sasel,Wellingsbüttel
22395,Bergstedt,Poppenbüttel,Sasel,Wohldorf-Ohlstedt
22397,Duvenstedt,Lemsahl-Mellingstedt,Wohldorf-Ohlstedt,
22399,Hummels-büttel,Lemsahl-Mellingstedt,Poppenbüttel,
22415,Fuhlsbüttel,Hummels-büttel,Langenhorn,
22417,Hummels-büttel,Langenhorn,,
22419,Langenhorn,,,
22453,GroßBostel,Niendorf,,
22455,Niendorf,,,
22457,Eidelstedt,Niendorf,Schnelsen,
22459,Niendorf,Schnelsen,,
22523,Eidelstedt,,,
22525,Bahrenfeld,Eidelstedt,Eimsbüttel,Lurup,Stellingen,,,
22527,Eidelstedt,Eimsbüttel,Lokstedt,Stellingen
22529,Eppendorf,Groß-Borstel,Hoheluft-West,Lokstedt,Stellingen,,,
22547,Bahrenfeld,Eidelstedt,Lurup,
22549,Bahrenfeld,Lurup,Osdorf,
22559,Blankenese,,,
22587,Blankenese,Nienstedten,Osdorf,Rissen,Sülldorf,,,
22589,Blankenese,Iserbrook,Osdorf,Sülldorf
22605,Bahrenfeld,GroßFlottbek,Othmarschen,
22607,Bahrenfeld,GroßFlottbek,Nienstedten,Othmarschen
22609,GroßFlottbek,Nienstedten,Othmarschen,Osdorf
22761,Bahrenfeld,,,
22763,Othmarschen,Ottensen,,
22765,Altona-Altstadt,Altona-Nord,Ottensen,
22767,Altona-Altstadt,Ottensen,St.Pauli,Sternschanze
22769,Altona-Altstadt,Altona-Nord,Bahrenfeld,Eimsbüttel,St.Pauli,Stellingen,Sternschanze,
27499,Neuwerk,,,
